id,hotel_id,path,local_file
2598022,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/7/20160627_024247_DC68GS.jpg,images/2598022.jpg
2598023,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/7/20160627_024247_GHVEMG.jpg,images/2598023.jpg
2598024,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/7/20160627_024247_S6E2L5.jpg,images/2598024.jpg
2598025,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/7/20160627_024247_2O5NAU.jpg,images/2598025.jpg
2618748,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/8/20160713_180313_SEMWBE.jpg,images/2618748.jpg
2618749,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/8/20160713_180313_6SXJGZ.jpg,images/2618749.jpg
2618750,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/8/20160713_180313_1OLND1.jpg,images/2618750.jpg
2618751,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/8/20160713_180313_T8THTC.jpg,images/2618751.jpg
2667473,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/12/20161107_054512_447SKT.jpg,images/2667473.jpg
2667474,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/12/20161107_054512_IDVB6S.jpg,images/2667474.jpg
2667475,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/12/20161107_054512_6V18P8.jpg,images/2667475.jpg
2667476,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2017/12/20161107_054512_68H0GK.jpg,images/2667476.jpg
2683339,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/2/20170107_122841_IHZMUS.jpg,images/2683339.jpg
2683340,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/2/20170107_122841_QAEO9H.jpg,images/2683340.jpg
2683341,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/2/20170107_122841_FO7ZSM.jpg,images/2683341.jpg
2683342,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/2/20170107_122841_P5F8QK.jpg,images/2683342.jpg
3865087,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/7/20170616_024538_C2RUJV.jpg,images/3865087.jpg
3865088,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/7/20170616_024538_HGL1EY.jpg,images/3865088.jpg
3865089,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/7/20170616_024538_DYSB5B.jpg,images/3865089.jpg
3874021,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/8/20170715_045231_RS80FB.jpg,images/3874021.jpg
3874022,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/8/20170715_045231_9M49Z1.jpg,images/3874022.jpg
3874023,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/8/20170715_045231_W253LC.jpg,images/3874023.jpg
3896534,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171012_045357_P5SUHP.jpg,images/3896534.jpg
3896535,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171012_045358_45NL8G.jpg,images/3896535.jpg
3896536,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171012_045358_1IEYGE.jpg,images/3896536.jpg
3896537,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171012_045358_PII4II.jpg,images/3896537.jpg
3901543,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_165729_P8WX72.jpg,images/3901543.jpg
3901544,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_165729_KHQFHO.jpg,images/3901544.jpg
3901545,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_165729_MH43WK.jpg,images/3901545.jpg
3901546,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_165729_G6KBK6.jpg,images/3901546.jpg
3901547,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_170059_5XYW7K.jpg,images/3901547.jpg
3901548,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_170059_OAK0FZ.jpg,images/3901548.jpg
3901549,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_170059_4LVL58.jpg,images/3901549.jpg
3901550,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2018/11/20171030_170059_L3ZTOK.jpg,images/3901550.jpg
3975906,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2019/12/20181112_223331_8EYU1E.jpg,images/3975906.jpg
3975907,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2019/12/20181112_223331_3TKJ2I.jpg,images/3975907.jpg
3975908,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2019/12/20181112_223331_3J0W08.jpg,images/3975908.jpg
3975909,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2019/12/20181112_223331_1HLUQJ.jpg,images/3975909.jpg
4001514,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/5/20190422_195739_L4HCP3.jpg,images/4001514.jpg
4001515,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/5/20190422_195740_GWAMMU.jpg,images/4001515.jpg
4001516,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/5/20190422_195740_XVLNH9.jpg,images/4001516.jpg
4001517,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/5/20190422_195740_G7GW2K.jpg,images/4001517.jpg
4038916,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/12/20191118_172617_ACNP8V.jpg,images/4038916.jpg
4038917,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/12/20191118_172617_HKNUDO.jpg,images/4038917.jpg
4038918,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/12/20191118_172617_68BHN1.jpg,images/4038918.jpg
4038919,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/12/20191118_172617_Z0DG2U.jpg,images/4038919.jpg
4091663,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/13/20191203_170214_VZV5YM.jpg,images/4091663.jpg
4091664,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/13/20191203_170214_PX2XZB.jpg,images/4091664.jpg
4091665,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/13/20191203_170214_41N8EP.jpg,images/4091665.jpg
4091666,2430,https://image-submissions.s3-us-west-2.amazonaws.com/images/2020/13/20191203_170214_CMH7R3.jpg,images/4091666.jpg
7133319,2430,https://image-submissions.s3.amazonaws.com/images/hotels/3000000/2170000/2169500/2169414/584f24d0_b.jpg,images/7133319.jpg
